creation, empty_158, empty, java.awt.Point[x=5,y=15], NORTH
creation, empty_159, empty, java.awt.Point[x=6,y=15], NORTH
creation, empty_160, empty, java.awt.Point[x=7,y=15], NORTH
creation, empty_161, empty, java.awt.Point[x=8,y=15], NORTH
creation, empty_162, empty, java.awt.Point[x=9,y=15], NORTH
creation, small_fish_162, small fish, java.awt.Point[x=10,y=15], NORTH
creation, empty_163, empty, java.awt.Point[x=11,y=15], NORTH
creation, empty_164, empty, java.awt.Point[x=12,y=15], NORTH
creation, empty_165, empty, java.awt.Point[x=13,y=15], NORTH
creation, empty_166, empty, java.awt.Point[x=14,y=15], NORTH
creation, small_fish_166, small fish, java.awt.Point[x=15,y=15], NORTH
creation, empty_167, empty, java.awt.Point[x=16,y=15], NORTH
creation, wall_74, wall, java.awt.Point[x=17,y=15], NORTH
creation, wall_75, wall, java.awt.Point[x=0,y=16], NORTH
creation, empty_168, empty, java.awt.Point[x=1,y=16], NORTH
creation, small_fish_168, small fish, java.awt.Point[x=2,y=16], NORTH
creation, empty_169, empty, java.awt.Point[x=3,y=16], NORTH
creation, empty_170, empty, java.awt.Point[x=4,y=16], NORTH
creation, empty_171, empty, java.awt.Point[x=5,y=16], NORTH
creation, empty_172, empty, java.awt.Point[x=6,y=16], NORTH
creation, empty_173, empty, java.awt.Point[x=7,y=16], NORTH
creation, small_fish_173, small fish, java.awt.Point[x=8,y=16], NORTH
creation, empty_174, empty, java.awt.Point[x=9,y=16], NORTH
creation, empty_175, empty, java.awt.Point[x=10,y=16], NORTH
creation, empty_176, empty, java.awt.Point[x=11,y=16], NORTH
creation, empty_177, empty, java.awt.Point[x=12,y=16], NORTH
creation, wall_76, wall, java.awt.Point[x=13,y=16], NORTH
creation, empty_178, empty, java.awt.Point[x=14,y=16], NORTH
creation, empty_179, empty, java.awt.Point[x=15,y=16], NORTH
creation, empty_180, empty, java.awt.Point[x=16,y=16], NORTH
creation, wall_77, wall, java.awt.Point[x=17,y=16], NORTH
creation, wall_78, wall, java.awt.Point[x=0,y=17], NORTH
creation, wall_79, wall, java.awt.Point[x=1,y=17], NORTH
creation, wall_80, wall, java.awt.Point[x=2,y=17], NORTH
creation, wall_81, wall, java.awt.Point[x=3,y=17], NORTH
creation, wall_82, wall, java.awt.Point[x=4,y=17], NORTH
creation, wall_83, wall, java.awt.Point[x=5,y=17], NORTH
creation, wall_84, wall, java.awt.Point[x=6,y=17], NORTH
creation, wall_85, wall, java.awt.Point[x=7,y=17], NORTH
creation, wall_86, wall, java.awt.Point[x=8,y=17], NORTH
creation, wall_87, wall, java.awt.Point[x=9,y=17], NORTH
creation, wall_88, wall, java.awt.Point[x=10,y=17], NORTH
creation, wall_89, wall, java.awt.Point[x=11,y=17], NORTH
creation, wall_90, wall, java.awt.Point[x=12,y=17], NORTH
creation, wall_91, wall, java.awt.Point[x=13,y=17], NORTH
creation, wall_92, wall, java.awt.Point[x=14,y=17], NORTH
creation, wall_93, wall, java.awt.Point[x=15,y=17], NORTH
creation, wall_94, wall, java.awt.Point[x=16,y=17], NORTH
creation, wall_95, wall, java.awt.Point[x=17,y=17], NORTH
move, small_fish25, java.awt.Point[x=9,y=11], java.awt.Point[x=16,y=14], NORTH
move, small_fish9, java.awt.Point[x=1,y=6], java.awt.Point[x=10,y=14], NORTH
move, small_fish24, java.awt.Point[x=7,y=11], java.awt.Point[x=6,y=12], NORTH
move, small_fish12, java.awt.Point[x=10,y=6], java.awt.Point[x=10,y=12], NORTH
move, small_fish15, java.awt.Point[x=1,y=9], java.awt.Point[x=7,y=11], NORTH
move, small_fish10, java.awt.Point[x=4,y=6], java.awt.Point[x=12,y=3], NORTH
move, small_fish14, java.awt.Point[x=5,y=7], java.awt.Point[x=8,y=4], NORTH
move, small_fish13, java.awt.Point[x=3,y=7], java.awt.Point[x=10,y=5], NORTH
move, small_fish13, java.awt.Point[x=10,y=5], java.awt.Point[x=14,y=12], NORTH
move, small_fish32, java.awt.Point[x=10,y=15], java.awt.Point[x=9,y=4], NORTH
move, small_fish35, java.awt.Point[x=8,y=16], java.awt.Point[x=4,y=7], NORTH
move, small_fish12, java.awt.Point[x=10,y=12], java.awt.Point[x=7,y=2], NORTH
move, small_fish15, java.awt.Point[x=7,y=11], java.awt.Point[x=14,y=7], NORTH
move, small_fish19, java.awt.Point[x=8,y=9], java.awt.Point[x=16,y=7], NORTH
move, small_fish7, java.awt.Point[x=5,y=5], java.awt.Point[x=16,y=9], NORTH
move, small_fish34, java.awt.Point[x=2,y=16], java.awt.Point[x=15,y=12], NORTH
move, small_fish35, java.awt.Point[x=4,y=7], java.awt.Point[x=7,y=13], NORTH
move, small_fish17, java.awt.Point[x=4,y=9], java.awt.Point[x=6,y=4], NORTH
move, small_fish16, java.awt.Point[x=2,y=9], java.awt.Point[x=10,y=16], NORTH
move, small_fish30, java.awt.Point[x=4,y=14], java.awt.Point[x=5,y=6], NORTH
move, small_fish16, java.awt.Point[x=10,y=16], java.awt.Point[x=15,y=6], NORTH
move, small_fish18, java.awt.Point[x=6,y=9], java.awt.Point[x=6,y=10], NORTH
move, small_fish30, java.awt.Point[x=5,y=6], java.awt.Point[x=8,y=2], NORTH
move, small_fish21, java.awt.Point[x=3,y=10], java.awt.Point[x=5,y=6], NORTH
move, small_fish18, java.awt.Point[x=6,y=10], java.awt.Point[x=13,y=5], NORTH
move, small_fish11, java.awt.Point[x=8,y=6], java.awt.Point[x=3,y=15], NORTH
move, small_fish14, java.awt.Point[x=8,y=4], java.awt.Point[x=9,y=5], NORTH
move, small_fish30, java.awt.Point[x=8,y=2], java.awt.Point[x=15,y=4], NORTH
move, small_fish14, java.awt.Point[x=9,y=5], java.awt.Point[x=10,y=11], NORTH
move, small_fish18, java.awt.Point[x=13,y=5], java.awt.Point[x=12,y=15], NORTH
move, small_fish16, java.awt.Point[x=15,y=6], java.awt.Point[x=8,y=2], NORTH
move, small_fish14, java.awt.Point[x=10,y=11], java.awt.Point[x=13,y=5], NORTH
move, small_fish24, java.awt.Point[x=6,y=12], java.awt.Point[x=6,y=14], NORTH
move, small_fish1, java.awt.Point[x=2,y=2], java.awt.Point[x=7,y=4], NORTH
move, small_fish26, java.awt.Point[x=13,y=11], java.awt.Point[x=5,y=14], NORTH
move, small_fish27, java.awt.Point[x=15,y=11], java.awt.Point[x=2,y=7], NORTH
move, small_fish2, java.awt.Point[x=15,y=2], java.awt.Point[x=10,y=16], NORTH
